City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,celestun,20.8667,-90.4,21.34,72,75,6.62,MX,1708310289
297,muana,-1.5283,-49.2167,24.24,96,98,2.44,BR,1708310290
298,fukuecho,32.6881,128.8419,19.2,94,75,7.2,JP,1708310202
299,prince albert,53.2001,-105.7677,-12.03,72,20,5.14,CA,1708310210
300,santa isabel,-23.3156,-46.2214,19.61,98,88,1.09,BR,1708310008
301,khandyga,62.6667,135.6,-31.78,90,100,1.0,RU,1708310294
302,biltine,14.5333,20.9167,21.49,16,99,5.19,TD,1708310295
303,villaguay,-31.8653,-59.0269,23.1,71,46,3.42,AR,1708310296
304,chulakkurgan,43.765,69.1814,-10.76,47,100,5.73,KZ,1708310297
305,constantia,44.1833,28.65,3.38,74,87,3.73,RO,1708310298
306,glendive,47.1053,-104.7125,-1.21,74,0,2.06,US,1708310300
307,rawai,7.7797,98.3253,30.06,75,20,5.06,TH,1708310301
308,san rafael,-34.6177,-68.3301,24.93,50,0,2.25,AR,1708310302
309,san felipe,10.3399,-68.7425,21.18,92,6,0.98,VE,1708310303
310,puerto yuca,2.9383,-73.2083,26.66,72,61,0.88,CO,1708310304
311,yongchuan,29.3514,105.8947,18.63,55,0,1.56,CN,1708310305
312,dalhart,36.0595,-102.5133,4.01,60,0,2.57,US,1708310306
313,gebeit,21.0667,36.3167,12.21,79,55,2.19,SD,1708310307
314,kilju,40.9642,129.3278,5.25,93,100,3.01,KP,1708310308
315,pudasjarvi,65.3833,26.9167,-14.3,100,100,1.22,FI,1708310310
316,flying fish cove,-10.4217,105.6791,28.82,69,9,3.09,CX,1708310311
317,la passe,45.5549,-0.8967,12.13,85,100,3.77,FR,1708310312
318,trenggalek,-8.05,111.7167,32.78,64,61,0.89,ID,1708310313
319,carutapera,-1.195,-46.02,25.32,93,89,4.01,BR,1708310314
320,rantepao,-2.9701,119.8978,28.62,63,41,1.44,ID,1708310121
321,isiolo,0.3546,37.5822,22.35,53,73,1.7,KE,1708310185
322,namibe,-15.1961,12.1522,26.39,76,100,2.88,AO,1708310317
323,lichinga,-13.3128,35.2406,18.05,88,40,4.63,MZ,1708310318
324,ancud,-41.8697,-73.8203,13.18,75,7,1.08,CL,1708310320
325,naze,28.3667,129.4833,20.51,79,83,7.1,JP,1708310139
326,chul'man,56.8479,124.9104,-30.39,90,100,3.32,RU,1708310322
327,hailar,49.2,119.7,-23.81,92,100,6.66,CN,1708310323
328,wajir,1.7471,40.0573,25.54,73,95,5.08,KE,1708310185
329,utrik,11.2278,169.8474,26.7,81,100,4.41,MH,1708310325
330,port douglas,-16.4833,145.4667,28.73,73,100,3.48,AU,1708310326
331,beloyarskiy,63.7119,66.6722,-11.1,90,100,5.71,RU,1708310327
332,vilyuchinsk,52.9306,158.4028,-3.85,62,48,2.99,RU,1708310328
333,guerrero negro,27.9769,-114.0611,15.7,73,95,6.13,MX,1708310329
334,sa'dah,16.9402,43.7639,13.87,59,19,1.21,YE,1708310330
335,chibougamau,49.9168,-74.3659,-16.21,85,100,1.03,CA,1708310331
336,beyneu,45.3167,55.2,-8.63,53,2,3.97,KZ,1708310332
337,cuxhaven,53.8718,8.6909,6.11,93,75,7.2,DE,1708310335
338,smithers,54.7804,-127.1743,1.18,69,100,0.0,CA,1708310336
339,tazacorte,28.629,-17.9293,21.54,33,100,4.12,ES,1708310337
340,omdurman,15.6445,32.4777,19.98,17,18,6.71,SD,1708310338
341,kirakira,-10.4544,161.9205,29.58,79,38,3.72,SB,1708310191
342,horta,38.5333,-28.6333,17.23,89,12,4.02,PT,1708310340
343,margate,51.3813,1.3862,9.27,86,6,1.79,GB,1708310087
344,joshimath,30.5667,79.5667,9.43,72,100,0.81,IN,1708310342
345,long beach,33.767,-118.1892,17.6,80,100,3.09,US,1708310145
346,colchani,-20.3,-66.9333,13.48,64,97,2.09,BO,1708310344
347,karachi,24.9056,67.0822,22.9,88,75,5.66,PK,1708310250
348,berkane,34.9084,-2.3461,13.82,87,7,0.59,MA,1708310346
349,lebu,-37.6167,-73.65,13.85,87,0,7.65,CL,1708310076
350,pirot,43.1531,22.5861,6.1,99,63,0.42,RS,1708310349
351,yamada,39.4667,141.95,14.01,73,72,6.53,JP,1708310281
352,ketchikan,55.3422,-131.6461,7.26,70,100,2.06,US,1708310352
353,bogande,12.9714,-0.1436,22.75,13,35,4.42,BF,1708310353
354,argo,37.6333,22.7333,8.21,75,1,1.15,GR,1708310354
355,tobruk,32.0836,23.9764,14.22,70,0,6.35,LY,1708310355
356,mogocha,53.7333,119.7667,-21.54,72,47,1.64,RU,1708310357
357,makueni boma,-1.8041,37.6203,19.14,71,99,0.36,KE,1708310358
358,chifeng,42.2683,118.9636,-7.96,22,100,8.91,CN,1708310359
359,tulun,54.5611,100.5792,-28.72,95,68,1.5,RU,1708310360
360,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.95,PT,1708310362
361,petauke,-14.2426,31.3253,19.6,67,14,3.09,ZM,1708310362
362,chervyen',53.7059,28.4313,-7.83,69,67,1.47,BY,1708310364
363,la manga del mar menor,37.6413,-0.7165,11.9,92,0,2.57,ES,1708310365
364,nova vicosa,-17.8919,-39.3719,24.74,92,99,4.07,BR,1708310367
365,dudinka,69.4058,86.1778,-19.66,91,100,12.07,RU,1708310316
366,arraial do cabo,-22.9661,-42.0278,24.73,87,92,3.17,BR,1708310369
367,idah,7.1065,6.7342,27.26,75,9,1.85,NG,1708310288
368,palikir - national government center,6.9248,158.1611,30.47,70,75,5.14,FM,1708310371
369,mugia,43.1041,-9.2179,14.39,93,44,5.49,ES,1708310373
370,sinan,34.8262,126.1086,12.06,100,100,4.79,KR,1708310375
371,yuzhno-kurilsk,44.0306,145.8556,4.1,69,69,6.77,RU,1708310376
372,dindori,22.95,81.0833,23.61,33,11,2.42,IN,1708310377
373,yarkovo,57.4028,67.0786,-19.72,91,7,3.95,RU,1708310380
374,swakopmund,-22.6833,14.5333,16.03,90,1,1.31,NA,1708310253
375,kill devil hills,36.0307,-75.676,6.66,57,0,2.57,US,1708310383
376,rincon,32.296,-81.2354,7.14,79,75,1.54,US,1708310385
377,namsos,64.4662,11.4957,-6.97,86,82,6.17,NO,1708310386
378,mutuali,-14.8706,37.0044,18.74,93,63,1.06,MZ,1708310285
379,oranjemund,-28.55,16.4333,15.74,93,0,1.11,NA,1708310388
380,galliano,29.4422,-90.2992,7.78,60,1,3.09,US,1708310389
381,qaisumah,28.3112,46.1273,10.98,71,0,2.06,SA,1708310390
382,kapit,2.0167,112.9333,27.69,84,100,0.33,MY,1708310091
383,nguruka,-5.1092,31.0419,19.65,94,100,1.14,TZ,1708310300
384,hurricane,37.1753,-113.2899,13.61,57,0,0.45,US,1708310394
385,tolanaro,-25.0319,46.9987,24.04,88,20,4.12,MG,1708310395
386,ormara,25.2088,64.6357,23.33,79,86,7.13,PK,1708310396
387,pumiao,22.75,108.4833,21.22,72,98,4.52,CN,1708310397
388,greymouth,-42.4667,171.2,16.63,92,98,6.36,NZ,1708310189
389,vallenar,-28.5708,-70.7581,17.55,70,35,1.64,CL,1708310399
390,gangolli,13.65,74.6667,26.66,63,79,1.66,IN,1708310400
391,pulandian,39.3953,121.9669,-4.45,52,100,12.54,CN,1708310300
392,ilhabela,-23.7781,-45.3581,23.66,90,24,1.5,BR,1708310402
393,angaur state,6.906,134.13,27.54,80,97,8.12,PW,1708310404
394,bethanie,-26.4833,17.15,23.94,24,0,2.47,NA,1708310405
395,pochep,52.9336,33.4464,-6.4,95,7,2.28,RU,1708310406
396,byron bay,-28.65,153.6167,27.06,65,87,2.89,AU,1708310407
397,cafayate,-26.073,-65.9761,20.13,93,100,2.41,AR,1708310388
398,fonte boa,-2.4959,-66.2662,25.09,80,18,1.28,BR,1708310409
399,cooma,-36.2333,149.1333,25.46,34,100,2.31,AU,1708310410
400,nizhneudinsk,54.9076,99.0276,-25.62,89,18,0.85,RU,1708310411
401,kolpny,52.2282,37.0368,-12.99,97,53,3.03,RU,1708310412
402,alice springs,-23.7,133.8833,35.75,30,40,6.17,AU,1708310414
403,finspang,58.7058,15.7674,1.29,98,100,2.78,SE,1708310415
404,axim,4.8699,-2.2405,26.85,89,79,2.57,GH,1708310204
405,la asuncion,11.0333,-63.8628,26.85,83,6,8.75,VE,1708310417
406,handewitt,54.7645,9.3153,5.92,94,100,8.75,DE,1708310418
407,luderitz,-26.6481,15.1594,16.56,78,0,3.65,NA,1708310410
408,emerald,-23.5333,148.1667,30.75,46,100,5.65,AU,1708310179
409,george town,5.4112,100.3354,29.97,79,20,2.06,MY,1708309952
410,prado,-17.3411,-39.2208,24.57,94,100,3.91,BR,1708310422
411,tralee,52.2704,-9.7026,9.92,89,100,5.53,IE,1708310423
412,usogorsk,63.4106,48.6872,-10.74,96,100,2.93,RU,1708310425
413,trinity beach,-16.7888,145.6968,32.81,65,75,4.63,AU,1708310426
414,petrozavodsk,61.7849,34.3469,-11.3,92,25,3.0,RU,1708310427
415,cronulla,-34.05,151.15,24.07,84,75,4.12,AU,1708310161
416,kone,-21.0595,164.8658,29.5,60,37,3.69,NC,1708310429
417,thunder bay,48.4001,-89.3168,-11.01,56,0,0.51,CA,1708309788
418,lubang,13.8584,120.124,26.79,76,95,9.59,PH,1708310431
419,kalmunai,7.4167,81.8167,26.53,79,100,3.47,LK,1708310432
420,egersund,58.4513,5.9997,5.77,99,100,1.16,NO,1708310433
421,port alberni,49.2413,-124.8028,7.74,82,100,2.24,CA,1708310434
422,kapa'a,22.0752,-159.319,25.99,55,20,9.26,US,1708310436
423,korla,41.7597,86.1469,-6.16,37,100,3.45,CN,1708310438
